model_name,url,metadata_field,findability,annot_missing,value_annot,value_pred,rouge,levenshtein,domain,provider,name
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,Access rights,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,Access rights,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Actual probability distribution for Quercus robur (EcoDataCube)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,Access rights,2,False,No user limitations,N/A,0.0,0.052631578947368474,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://zenodo.org/records/11440456,Access rights,2,False,The data are freely available,N/A,0.0,0.0,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,Access rights,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube)
Qwen 2.5 Coder 32B,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,Access rights,0,True,N/A,N/A,1.0,1.0,ac.ecodatacube.eu,ac.ecodatacube.eu,Cloud-free reconstructed Landsat yearly green band (EcoDataCube)
Qwen 2.5 Coder 32B,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,Access rights,1,False,"NASA promotes the full and open sharing of all data with research and applications communities, private industry, academia, and the general public.",N/A,0.0,0.013605442176870763,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,Access rights,2,False,No limitations,N/A,0.0,0.0714285714285714,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden)
Qwen 2.5 Coder 32B,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,Access rights,0,True,N/A,N/A,1.0,1.0,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS)
Qwen 2.5 Coder 32B,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,Access rights,1,False,"Copyright, no user limitations",N/A,0.0,0.0,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden)
